id,genetics,species,finalCultivar,synonym,isConfirmed,use,country,genotypes,tree_tag_id,propertyOwner,treeSiteLocation,treeLatitude,treeLongitude,treeHeight,treeDripLine,trunkDiameter,fireBlight,fruitHanging
477,Malus,domestica,Red Dijmanszoet/ MM. 111,NA,NA,rootstock,Netherlands/UK,3056/3055,477,private ,3855 Lagrange Cir.,39.9770106,-105.2595722,18,14,11.375,1,101-1000
478,Malus,domestica,Secor,NA,U,NA,United States,2333,478,private ,3855 Lagrange Cir.,39.9770631,-105.2595672,28,27,14.5,1,0-2
479,Malus,domestica,Haas,NA,NA,NA,NA,32931,479,private ,3855 Lagrange Cir.,39.9771037,-105.2595635,32,30,17.1875,1,11-100
480,NA,NA,NA,NA,C,NA,NA,NA,480,private ,865 36th St ,40.0032842,-105.2478436,30,30,14.5,1,1001-10000
481,Malus,domestica,Cortland / UNK-WARC (montana),"Cartland, Courtland, Courtlandt",NA,"dessert, cider",United States,32261,481,private,865 36th St ,40.0034298,-105.2478506,35,36,23,<5,1001-10000
482,NA,NA,NA,NA,NA,NA,NA,NA,482,private,3373 4th St,40.037,-105.2921,10,22.9167,NA,0,101-1000
483,NA,NA,NA,NA,U,NA,NA,NA,483,private,3373 4th St,40.037,-105.2921,12.5,24,13.0625,0,11-100
484,Malus,domestica,Rome Beauty Law,"Foust's Rome Beauty, Gillett's Phoenix, Roman Beauty, Rome, Royal Red, Starbuck",NA,"dessert, cooking, cider",United States,3169,484,private,3373 4th St,40.037,-105.2921,15,17.4167,11.03124,1,11-100
485,NA,NA,NA,NA,NA,NA,NA,NA,485,private,3373 4th St,40.037,-105.2921,12,23,14.5,1,101-1000
486,NA,NA,NA,NA,NA,NA,NA,NA,486,private,3373 4th St,40.037,-105.2921,16,14.167,16.59375,1,11-100
487,NA,NA,NA,NA,NA,NA,NA,NA,487,private,3373 4th St,40.037,-105.2921,22,23.083,17.71875,1,101-1000
490,Malus,domestica,Northwest Greening,NA,NA,NA,NA,3258,490,private,1498 Marshall Rd ,39.960805,-105.228573,18,31,16.5,0,0-2
491,NA,NA,NA,NA,NA,NA,NA,NA,491,private,1498 Marshall Rd ,39.9609616,-105.2288824,28,30,16.5,1,0-2
492,NA,NA,NA,NA,NA,NA,NA,NA,492,private,4702 Eldorado Springs Dr.,39.9447011,-105.2421412,19,23,9,1,101-1000
493,NA,NA,NA,NA,U,NA,NA,NA,493,private,4702 Eldorado Springs Dr.,39.9448299,-105.242159,16,21,38.8338,1,11-100
494,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,494,private,4702 Eldorado Springs Dr.,39.944652,-105.2424004,13,12,5.5,1,101-1000
495,NA,NA,NA,NA,U,NA,NA,NA,495,private,4702 Eldorado Springs Dr.,39.9458923,-105.2457656,29,25,16.5,0,11-100
496,Malus,domestica,Lodi,"Early Golden, Golden Lodi, Improved Yellow Transparent, Large Transparent",NA,cooking,United States,3013,496,private,3652 Eldorado Springs Dr. ,39.93431,-105.267417,18,17,21.25,1,11-100
497,NA,NA,NA,NA,NA,NA,NA,NA,497,private,3652 Eldorado Springs Dr. ,39.934307,-105.2672672,15,20,21.3125,1,11-100
498,NA,NA,UNK_MT4_Clon (Montana),NA,U,NA,NA,NA,498,private,3652 Eldorado Springs Dr. ,39.9349052,-105.2668987,15,13,20.6875,1,101-1000
499,Malus,domestica,Yellow Transparent,White Transparent,NA,cooking,Russia,3096,499,NA,3652 Eldorado Springs Dr. ,39.9342705,-105.2679698,NA,17,9.25,1,11-100
500,Malus,domestica,Tchistaikovka No. 3,NA,C,NA,NA,1044,500,,,,,,,NA,,
505,Malus,domestica,McIntosh Summerland Red,NA,U,cider,Canada,2968,505,private,9520 Marine St.,40.0112116,-105.2886491,20,26.5,12.125,1,101-1000
506,Malus,domestica,Wealthy,Lelsy,NA,"dessert, cooking, cider",United States,3050,506,private,525 College ,40.0076084,-105.2879436,20,20.25,7.75,1,1001-10000
507,NA,NA,NA,NA,NA,NA,NA,NA,507,private,525 College,40.007318,-105.288245,12,8.5,5.795875,1,11-100
508,NA,NA,NA,NA,NA,NA,NA,NA,508,public,McClintock Trail,39.9970788,-105.2793475,15,21.5,7.6875,1,1001-10000
509,NA,NA,NA,NA,NA,NA,NA,NA,509,private,290 Cactus (backyard),40.36717,-105.2947712,15,19.5,7.75,0,11-100
510,NA,NA,NA,NA,NA,NA,NA,NA,510,private ,600 Juniper ,40.0375639,-105.2881022,39,29,10.875,1,3-10
511,NA,NA,NA,NA,NA,NA,NA,NA,511,private ,585 Juniper ,40.0375639,-105.2881022,12,24,11.625,0,11-100
520,NA,NA,NA,NA,NA,NA,NA,NA,520,private,770 Linden Ave ,40.04116,-105.27745,25,21,12.625,0,11-100
521,NA,NA,NA,NA,NA,NA,NA,NA,521,NA,770 Linden Ave ,40.04,-105.28,NA,NA,NA,NA,NA
522,NA,NA,NA,NA,NA,NA,NA,NA,522,NA,770 Linden Ave ,40.04,-105.28,NA,NA,NA,NA,NA
523,NA,NA,NA,NA,NA,NA,NA,NA,523,NA,770 Linden Ave ,40.04,-105.28,NA,NA,NA,NA,NA
524,NA,NA,NA,NA,NA,NA,NA,NA,524,NA,770 Linden Ave ,40.04,-105.28,NA,NA,NA,NA,NA
525,NA,NA,NA,NA,NA,NA,NA,NA,525,NA,770 Linden Ave ,40.04,-105.28,NA,NA,NA,NA,NA
526,NA,NA,NA,NA,NA,NA,NA,NA,526,public,Wonderland Hill,40.04,-105.28,30,25.5,16.375,0,101-1000
527,NA,NA,NA,NA,C,NA,NA,NA,527,,3840 Lake Bryer,40.04,-105.28,NA,NA,NA,NA,NA
528,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",U,dessert,United States,2947,528,private,1035 Orange Pl.,40.044,-105.2839,20,20,16.015625,1,3-10
529,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,529,private,755 Union Ave.,43.2855,-105.2886,25,18,8.25,1,101-1000
535,NA,NA,NA,NA,NA,NA,NA,NA,535,public,left hand spruce gulch,40.1243385,-105.3072304,10,12,16.375,0,NA
536,NA,NA,NA,NA,NA,NA,NA,NA,536,public,left hand spruce gulch,40.1243385,-105.3072304,15,14.5,16.75,0,3-10
537,NA,NA,NA,NA,C,NA,NA,NA,537,public,left hand spruce gulch,40.1242716,-105.3076032,14,11.0625,13.28125,0,3-10
538,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,538,public,Silver Ditch,40.0339698,-105.2927126,15,30,5.75,0,101-1000
539,NA,NA,NA,NA,NA,NA,NA,NA,539,NA,Silver Ditch,40.03404,-105.29267,NA,NA,NA,NA,NA
540,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,Silver Ditch,40.034117,-105.29257,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,NA,NA,NA,NA,541,NA,"5741 Prospect Rd, Longmont",40.1344,-105.2194,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA,NA,NA,NA,543,NA,"5741 Prospect Rd, Longmont",40.1359,-105.2186,NA,NA,NA,NA,NA
544,NA,NA,NA,NA,NA,NA,NA,NA,544,NA,"5741 Prospect Rd, Longmont",40.1359,-105.2186,NA,NA,NA,NA,NA
545,NA,NA,UNK_Morp_2lwt00b,NA,NA,NA,NA,NA,545,private ,5741 Prospect Rd,40.13,-105.22,20,11.4167,2.4167,0,101-1000
546,NA,NA,NA,NA,NA,NA,NA,NA,546,NA,"5741 Prospect Rd, Longmont",40.1362,-105.2175,NA,NA,NA,NA,NA
547,NA,NA,NA,NA,NA,NA,NA,NA,547,private ,5741 Prospect Rd,40.13,-105.219,15,7.25,7.25,0,11-100
